Estacion,Numero,Pregunta,Opciones,Respuesta Correcta (Letra),Respuesta Correcta (Nominal),Frecuencia de Respuesta
1,1,Which term describes the anatomical region of the wrist?,A. plantar; B. palmar; C. antebrachial; D. carpal,D,carpal,Única
18,60,Identify the organelle that serves as the site of protein synthesis.,A. smooth; B. ribosome; C. rough; D. DNA,B,ribosome,Única
18,61,What organelle organizes the microtubules during cell division?,A. flagella; B. cytoplasm; C. cilia; D. centrosome / centriole,D,centrosome / centriole,Única
18,62,Which network of membranes is involved in protein and lipid synthesis?,A. endoplasmic reticulum; B. nuclear envelope; C. chromatin / chromosome; D. cilia,A,endoplasmic reticulum,Única
18,63,Which organelle contains digestive enzymes to break down waste materials and cellular debris?,A. peroxisome; B. mitochondria; C. lysosome; D. nucleolus,C,lysosome,Única
19,64,What is the jelly-like substance inside the cell that surrounds the organelles?,A. cell membrane; B. nucleus; C. cytoplasm; D. lysosome,C,cytoplasm,Única
19,65,Identify the molecule that carries the genetic instructions for life.,A. chromatin / chromosome; B. DNA; C. nucleolus; D. cytoplasm,B,DNA,Única
19,66,Which double membrane surrounds the nucleus?,A. nuclear envelope; B. cell membrane; C. endoplasmic reticulum; D. Golgi apparatus,A,nuclear envelope,Única
20,67,Which structure within the nucleus is responsible for producing ribosomal RNA?,A. chromatin / chromosome; B. DNA; C. centrosome / centriole; D. nucleolus,D,nucleolus,Única
20,68,Identify the type of endoplasmic reticulum involved in lipid synthesis and lacks ribosomes.,A. rough; B. smooth; C. nuclear envelope; D. cell membrane,B,smooth,Repetida (2 veces)
20,69,Which type of endoplasmic reticulum has ribosomes attached to its surface?,A. rough; B. smooth; C. endoplasmic reticulum; D. Golgi apparatus,A,rough,Única
21,70,In which phase do the chromosomes arrive at the poles and begin to decondense?,A. anaphase; B. metaphase; C. prophase; D. telophase,D,telophase,Única
21,71,Which phase of mitosis is characterized by the condensation of chromatin into visible chromosomes?,A. prophase; B. metaphase; C. anaphase; D. telophase,A,prophase,Única
21,72,Which phase is characterized by the separation of sister chromatids toward opposite poles?,A. metaphase; B. prophase; C. anaphase; D. telophase,C,anaphase,Única
21,73,Identify the stage where chromosomes line up at the cell's equator.,A. prophase; B. metaphase; C. anaphase; D. telophase,B,metaphase,Única
22,74,Identify the process where the cytoplasm divides to form two separate cells.,A. Interphase; B. Cytokinesis; C. Mitosis; D. 2 daughter cells,B,Cytokinesis,Única
22,75,What is the term for one half of a duplicated chromosome?,A. centromere; B. spindle apparatus; C. chromatid; D. Mitosis,C,chromatid,Única
22,76,Which stage of the cell cycle precedes mitosis and includes DNA replication?,A. Interphase; B. Mitosis; C. Cytokinesis; D. 1 parent cell,A,Interphase,Única
22,77,Which structure holds the sister chromatids together?,A. chromatid; B. spindle apparatus; C. 1 parent cell; D. centromere,D,centromere,Única
23,78,Which structure is responsible for moving the chromosomes during cell division?,A. spindle apparatus; B. centromere; C. chromatid; D. Cytokinesis,A,spindle apparatus,Única
23,79,What is the result of mitosis and cytokinesis?,A. 1 parent cell; B. Interphase; C. 2 daughter cells; D. prophase,C,2 daughter cells,Única
23,80,Which process involves the division of the nucleus?,A. Cytokinesis; B. Interphase; C. metaphase; D. Mitosis,D,Mitosis,Única
23,81,Identify the cell that undergoes division to produce daughter cells.,A. 2 daughter cells; B. 1 parent cell; C. Interphase; D. Mitosis,B,1 parent cell,Única
24,82,Which process forces water and solutes through a membrane by hydrostatic pressure?,A. diffusion; B. osmosis; C. filtration; D. hypotonic,C,filtration,Única
24,83,What term describes a solution with the same solute concentration as the cell?,A. hypertonic; B. hypotonic; C. lysis; D. isotonic,D,isotonic,Única
24,84,Identify the diffusion of water across a selectively permeable membrane.,A. diffusion; B. osmosis; C. filtration; D. hypertonic,B,osmosis,Única
24,85,Which process describes the movement of molecules from an area of high concentration to low concentration?,A. diffusion; B. osmosis; C. filtration; D. isotonic,A,diffusion,Única
25,86,Which type of solution causes a cell to swell and potentially burst?,A. hypotonic; B. isotonic; C. hypertonic; D. crenation,A,hypotonic,Única
25,87,What is the term for the shrinkage of red blood cells in a hypertonic solution?,A. lysis; B. filtration; C. crenation; D. diffusion,C,crenation,Única
25,88,Identify the solution that causes a cell to shrink.,A. isotonic; B. hypotonic; C. lysis; D. hypertonic,D,hypertonic,Única
26,89,"Identify the epithelial tissue made of a single layer of cube-shaped cells, often found in glands.",A. simple squamous; B. pseudostratified columnar; C. transitional; D. simple cuboidal,D,simple cuboidal,Única
26,90,"Which tissue consists of multiple layers of flat cells, providing protection against abrasion?",A. simple columnar; B. simple squamous; C. stratified squamous; D. transitional,C,stratified squamous,Única
26,91,"Which epithelial tissue consists of a single layer of flattened cells, ideal for diffusion?",A. simple squamous; B. simple columnar; C. stratified squamous; D. simple cuboidal,A,simple squamous,Única
27,92,"Which epithelial tissue is a single layer of tall cells, often found in the digestive tract?",A. pseudostratified columnar; B. stratified squamous; C. simple columnar; D. simple cuboidal,C,simple columnar,Única
27,93,"Identify the epithelial tissue that can stretch, found in the urinary bladder.",A. simple squamous; B. transitional; C. simple cuboidal; D. stratified squamous,B,transitional,Única
27,94,Which tissue appears to have multiple layers but is actually a single layer of varying heights?,A. simple columnar; B. transitional; C. simple squamous; D. pseudostratified columnar,D,pseudostratified columnar,Única
28,95,Identify the connective tissue that is rigid and forms the skeleton.,A. Hyaline cartilage; B. Bone (osseous); C. Reticular; D. Blood (vascular),B,Bone (osseous),Única
28,96,Which tissue stores fat and acts as an insulator?,A. Fibroblasts; B. osteocyte; C. Adipose; D. Collagen fibers,C,Adipose,Única
28,97,What connective tissue provides smooth surfaces for joint movement?,A. Dense regular; B. Elastic fibers; C. RBC; D. Hyaline cartilage,D,Hyaline cartilage,Única
28,98,Which connective tissue has a fluid matrix and transports substances throughout the body?,A. Blood (vascular); B. Loose (areolar); C. Dense regular; D. Adipose,A,Blood (vascular),Única
29,99,"Which connective tissue has tightly packed collagen fibers running in the same direction, found in tendons?",A. Loose (areolar); B. Reticular; C. Dense regular; D. Elastic fibers,C,Dense regular,Única
29,100,Identify the mature cell type found in cartilage.,A. osteocyte; B. chondrocyte; C. platelets; D. Reticular fibers,B,chondrocyte,Única
29,101,Which cell fragments are involved in blood clotting?,A. RBC; B. WBC; C. Collagen fibers; D. platelets,D,platelets,Única
29,102,Which cell type is found within the lacunae of bone?,A. osteocyte; B. chondrocyte; C. Fibroblasts; D. WBC,A,osteocyte,Única
30,103,Which muscle tissue is involuntary and found in the walls of hollow organs?,A. skeletal; B. cardiac; C. smooth; D. stratified squamous,C,smooth,Repetida (2 veces)
30,104,Identify the muscle tissue that is involuntary and found only in the heart.,A. smooth; B. cardiac; C. skeletal; D. neuroglia,B,cardiac,Única
30,105,Which muscle tissue is voluntary and attached to bones?,A. cardiac; B. smooth; C. transitional; D. skeletal,D,skeletal,Única
