Station,Question_Number,SLO,Question_Type,Stem,Option_A,Option_B,Option_C,Option_D,Correct_Letter,Correct_Answer,Reference_Type,Reference_Label,Image_Represents_Question,Image_Redesign_Needed,Redesign_Notes,No_Model_Needed
"Station 03","12","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","The line at label 12 ends in which anatomical region?","frontal","cervical","cephalic","occipital","D","occipital","Station image reference (not displayed in student deck)","Label 12","Yes","No","","No"
"Station 04","13","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","Select the correct name for the body region indicated by 13.","tarsal","digital","carpal","pedal","A","tarsal","Station image reference (not displayed in student deck)","Label 13","Yes","No","","No"
"Station 04","14","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","What regional descriptor belongs at the location marked 14?","vertebral","dorsal","sacral","lumbar","D","lumbar","Station image reference (not displayed in student deck)","Label 14","Yes","No","","No"
"Station 04","15","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Station-linked identification or function","At this station, label 15 identifies the ____ region.","buccal","oral","nasal","mental","A","buccal","Station image reference (not displayed in student deck)","Label 15","Yes","No","","No"
"Station 05","16","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Station-linked application","Which organ is protected inside the cavity marked 16?","heart","brain","spinal cord","lung","B","brain","Station image reference (not displayed in student deck)","Label 16","Yes","No","","No"
"Station 05","17","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Station-linked application","The compartment at label 17 surrounds which organ?","left lung","heart","liver","spinal cord","B","heart","Station image reference (not displayed in student deck)","Label 17","Yes","No","","No"
"Station 05","18","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Station-linked application","Which organ occupies the serous space indicated by number 18?","lung","brain","kidney","urinary bladder","A","lung","Station image reference (not displayed in student deck)","Label 18","Yes","No","","No"
"Station 05","19","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Station-linked application","Label 19 protects which part of the central nervous system?","thyroid gland","stomach","heart","spinal cord","D","spinal cord","Station image reference (not displayed in student deck)","Label 19","Yes","No","","No"
"Station 06","20","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Station-linked application","Which organ would normally be found in the space indicated by label 20?","heart","urinary bladder (pelvic cavity)","brain","trachea","B","urinary bladder (pelvic cavity)","Station image reference (not displayed in student deck)","Label 20","Yes","No","","No"
"Station 06","21","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Station-linked application","The passage at label 21 contains receptors for which special sense structure?","olfactory receptors","retina","taste buds","auditory ossicles","A","olfactory receptors","Station image reference (not displayed in student deck)","Label 21","Yes","No","","No"
"Station 06","22","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Station-linked application","Which organ is located in the compartment identified by number 22?","brain","stomach (abdominal cavity)","urinary bladder","heart","B","stomach (abdominal cavity)","Station image reference (not displayed in student deck)","Label 22","Yes","No","","No"
"Station 07","23","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","An inflamed appendix would most commonly produce pain in the quadrant marked 23. Which organ is involved?","stomach","spleen","appendix (right lower quadrant)","gallbladder","C","appendix (right lower quadrant)","Station image reference (not displayed in student deck)","Label 23","Yes","No","","No"
"Station 07","24","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","Which organ segment is most associated with the lower-left quadrant indicated by label 24?","appendix","sigmoid colon","liver","gallbladder","B","sigmoid colon","Station image reference (not displayed in student deck)","Label 24","Yes","No","","No"
"Station 07","25","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","The organ most associated with the quadrant at number 25 is the:","liver (right upper quadrant)","spleen","appendix","sigmoid colon","A","liver (right upper quadrant)","Station image reference (not displayed in student deck)","Label 25","Yes","No","","No"
"Station 07","26","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","Which digestive organ is primarily located in the quadrant labeled 26?","sigmoid colon","appendix","urinary bladder","stomach (left upper quadrant)","D","stomach (left upper quadrant)","Station image reference (not displayed in student deck)","Label 26","Yes","No","","No"
"Station 08","27","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","The region marked 27 is clinically associated with which structure?","spleen","appendix (right iliac region)","stomach","left kidney","B","appendix (right iliac region)","Station image reference (not displayed in student deck)","Label 27","Yes","No","","No"
"Station 08","28","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","Which organ is commonly found in the upper central region identified by label 28?","sigmoid colon","urinary bladder","appendix","stomach (epigastric region)","D","stomach (epigastric region)","Station image reference (not displayed in student deck)","Label 28","Yes","No","","No"
"Station 08","29","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","Which organ would be expected in the lower central region at number 29?","left lung","spleen","liver","urinary bladder (hypogastric region)","D","urinary bladder (hypogastric region)","Station image reference (not displayed in student deck)","Label 29","Yes","No","","No"
"Station 09","30","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","The central abdominal region at label 30 commonly contains loops of the:","right lung","heart","small intestine","thyroid gland","C","small intestine","Station image reference (not displayed in student deck)","Label 30","Yes","No","","No"
"Station 09","31","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","Which organ lies in the upper-left abdominal region designated by number 31?","cecum","appendix","urinary bladder","spleen","D","spleen","Station image reference (not displayed in student deck)","Label 31","Yes","No","","No"
"Station 09","32","Ex 1 - Identify abdominopelvic body regions and quadrants.","Station-linked application","The portion of the large intestine associated with label 32 is the:","spleen","descending colon","ascending colon","sigmoid colon","C","ascending colon","Station image reference (not displayed in student deck)","Label 32","Yes","No","","No"
"Station 10","33","Ex 1 - Be able to recognize body planes and sections.","Station-linked identification or function","Which plane or section is represented by label 33?","divides the body in anterior and posterior","divides the body in superior and inferior","divides the body exactly into equal right and left halves","divides a cylindrical organ horizontally.","C","divides the body exactly into equal right and left halves","Station image reference (not displayed in student deck)","Label 33","Yes","No","","No"
"Station 10","34","Ex 1 - Be able to recognize body planes and sections.","Station-linked identification or function","The cut shown at number 34 is best described as which plane or section?","oblique section","midsagittal plane","parasagittal plane","frontal (coronal) plane","D","frontal (coronal) plane","Station image reference (not displayed in student deck)","Label 34","Yes","No","","No"
"Station 10","35","Ex 1 - Be able to recognize body planes and sections.","Station-linked identification or function","Choose the term that names the division marked 35.","sagittal plane (right-left division)","frontal (coronal) plane","transverse (horizontal)","cross section","A","sagittal plane (right-left division)","Station image reference (not displayed in student deck)","Label 35","Yes","No","","No"
"Station 10","36","Ex 1 - Be able to recognize body planes and sections.","Station-linked identification or function","What type of body division does label 36 illustrate?","longitudinal section","cross section","transverse (horizontal)","frontal (coronal) plane","C","transverse (horizontal)","Station image reference (not displayed in student deck)","Label 36","Yes","No","","No"
"Station 11","37","Ex 1 - Be able to recognize body planes and sections.","Station-linked identification or function","Which plane or section is represented by label 37?","longitudinal section","cross section","oblique section","frontal (coronal) plane","B","cross section","Station image reference (not displayed in student deck)","Label 37","Yes","No","","No"
"Station 11","38","Ex 1 - Be able to recognize body planes and sections.","Station-linked identification or function","The cut shown at number 38 is best described as which plane or section?","cross section","longitudinal section","sagittal (median) plane","transverse (horizontal)","B","longitudinal section","Station image reference (not displayed in student deck)","Label 38","Yes","No","","No"
"Station 11","39","Ex 1 - Be able to recognize body planes and sections.","Station-linked identification or function","Choose the term that names the division marked 39.","midsagittal plane","parasagittal plane","sagittal (median) plane","transverse (horizontal)","B","parasagittal plane","Station image reference (not displayed in student deck)","Label 39","Yes","No","","No"
"Station 12","40","Ex 2 - Define pH.","Station-linked identification or function","What measurement is shown by the color scale at label 40?","Acid","pH","Base","Electrolytes","B","pH","Station image reference (not displayed in student deck)","Label 40","Yes","No","","No"
"Station 12","41","Ex 2 - Define and give examples of common acids and bases in our body.","Station-linked identification or function","Which substance at label 41 donates hydrogen ions in solution?","Base","acid","Buffer","Ions","B","acid","Station image reference (not displayed in student deck)","Label 41","Yes","No","","No"
"Station 12","42","Ex 2 - Define and give examples of common acids and bases in our body.","Station-linked identification or function","Which type of substance at label 42 accepts hydrogen ions?","Acid","pH","Ions","chemical base (proton acceptor)","D","chemical base (proton acceptor)","Station image reference (not displayed in student deck)","Label 42","Yes","No","","No"
"Station 13","43","Ex 2 - Know the definition of electrolytes.","Station-linked identification or function","The charged particles shown at number 43 are called:","pH","ions","Acid","Buffer","B","ions","Station image reference (not displayed in student deck)","Label 43","Yes","No","","No"
"Station 13","44","Ex 2 - Know the definition of electrolytes.","Station-linked identification or function","What term describes the solution at label 44 that conducts electricity?","pH","Base","electrolytes","Buffer","C","electrolytes","Station image reference (not displayed in student deck)","Label 44","Yes","No","","No"
"Station 13","45","Ex 2 - Define buffers.","Station-linked identification or function","Which system at label 45 helps resist abrupt pH change?","Acid","buffer","Electrolytes","Ions","B","buffer","Station image reference (not displayed in student deck)","Label 45","Yes","No","","No"
"Station 14","46","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Station-linked identification or function","Which microscope part at 46 provides the available magnification choices?","eyepiece (ocular lens)","mechanical stage","cover slip","objective lenses (scan, low, high)","D","objective lenses (scan, low, high)","Station image reference (not displayed in student deck)","Label 46","Yes","No","","No"
"Station 14","47","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Station-linked identification or function","For sharp focus at high power, which control is identified by 47?","fine adjustment knob","substage disc","coarse adjustment knob","base","A","fine adjustment knob","Station image reference (not displayed in student deck)","Label 47","Yes","No","","No"
"Station 14","48","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Station-linked identification or function","Which component at label 48 moves the slide precisely across the field?","stage","body","mechanical stage","arm","C","mechanical stage","Station image reference (not displayed in student deck)","Label 48","Yes","No","","No"
"Station 14","49","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Station-linked identification or function","Which lens at number 49 is used to view the specimen?","eyepiece (ocular lens)","objective lenses (scan, low, high)","stage","substage lamp","A","eyepiece (ocular lens)","Station image reference (not displayed in student deck)","Label 49","Yes","No","","No"
"Station 15","50","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Station-linked identification or function","Which item at label 50 illuminates the specimen?","eyepiece (ocular lens)","substage lamp","cover slip","objective lenses (scan, low, high)","B","substage lamp","Station image reference (not displayed in student deck)","Label 50","Yes","No","","No"
"Station 15","51","Ex 3 - Learn the proper care and use of the microscope.","Station-linked identification or function","Which feature at 51 supports the microscope on the bench?","arm","microscope base (support)","body","stage","B","microscope base (support)","Station image reference (not displayed in student deck)","Label 51","Yes","No","","No"
"Station 15","52","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Station-linked identification or function","Which rotating component at 52 carries the objective lenses?","mechanical stage","nosepiece","substage disc","fine adjustment knob","B","nosepiece","Station image reference (not displayed in student deck)","Label 52","Yes","No","","No"
"Station 16","53","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Station-linked identification or function","What optical capability is demonstrated by the two close points at 53?","total magnification","base","coarse adjustment knob","resolution","D","resolution","Station image reference (not displayed in student deck)","Label 53","Yes","No","","No"
"Station 16","54","Ex 3 - Calculate total magnification while using various combinations of the objectives with the eyepiece.","Station-linked identification or function","Which term describes the enlargement associated with label 54?","stage","resolution","total magnification","nosepiece","C","total magnification","Station image reference (not displayed in student deck)","Label 54","Yes","No","","No"
"Station 16","55","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Station-linked identification or function","What is the glass support for a specimen at label 55?","cover slip","stage","microscopic slide","body","C","microscopic slide","Station image reference (not displayed in student deck)","Label 55","Yes","No","","No"
"Station 17","56","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which structure at label 56 produces ATP during cellular respiration?","endoplasmic reticulum","ribosome","mitochondrion","peroxisome","C","mitochondrion","Station image reference (not displayed in student deck)","Label 56","Yes","No","","No"
"Station 17","57","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which boundary at 57 regulates entry into and exit from the cell?","lysosome","cell membrane","cytoplasm","nucleus","B","cell membrane","Station image reference (not displayed in student deck)","Label 57","Yes","No","","No"
"Station 17","58","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which control center is represented by number 58?","mitochondria","nucleolus","nucleus","Golgi apparatus","C","nucleus","Station image reference (not displayed in student deck)","Label 58","Yes","No","","No"
"Station 17","59","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which organelle at 59 modifies and packages proteins?","Golgi apparatus","centrosome / centriole","cell membrane","lysosome","A","Golgi apparatus","Station image reference (not displayed in student deck)","Label 59","Yes","No","","No"
"Station 18","60","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","What tiny structure at label 60 is the site of protein synthesis?","smooth","rough","ribosome","DNA","C","ribosome","Station image reference (not displayed in student deck)","Label 60","Yes","No","","No"
"Station 18","61","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which structure at 61 organizes microtubules during cell division?","cilia","cytoplasm","centrosome","flagella","C","centrosome","Station image reference (not displayed in student deck)","Label 61","Yes","No","","No"
"Station 18","62","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which membrane network at 62 participates in protein and lipid synthesis?","chromatin / chromosome","endoplasmic reticulum","nuclear envelope","cilia","B","endoplasmic reticulum","Station image reference (not displayed in student deck)","Label 62","Yes","No","","No"
"Station 18","63","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which digestive organelle is indicated by 63?","peroxisome","nucleolus","mitochondria","lysosome","D","lysosome","Station image reference (not displayed in student deck)","Label 63","Yes","No","","No"
"Station 19","64","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","What fluid-like material around the organelles is marked 64?","cell membrane","lysosome","nucleus","cytoplasm","D","cytoplasm","Station image reference (not displayed in student deck)","Label 64","Yes","No","","No"
"Station 19","65","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which molecule carrying genetic information is indicated by 65?","chromatin / chromosome","nucleolus","cytoplasm","DNA","D","DNA","Station image reference (not displayed in student deck)","Label 65","Yes","No","","No"
"Station 19","66","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which double membrane is marked 66?","endoplasmic reticulum","cell membrane","nuclear envelope","Golgi apparatus","C","nuclear envelope","Station image reference (not displayed in student deck)","Label 66","Yes","No","","No"
"Station 20","67","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which nuclear structure produces ribosomal RNA at 67?","chromatin / chromosome","nucleolus","centrosome / centriole","DNA","B","nucleolus","Station image reference (not displayed in student deck)","Label 67","Yes","No","","No"
"Station 20","68","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which ER type at label 68 lacks ribosomes and synthesizes lipids?","nuclear envelope","rough","smooth endoplasmic reticulum","cell membrane","C","smooth endoplasmic reticulum","Station image reference (not displayed in student deck)","Label 68","Yes","No","","No"
"Station 20","69","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Station-linked identification or function","Which ER type at label 69 bears ribosomes?","Golgi apparatus","rough endoplasmic reticulum","endoplasmic reticulum","smooth","B","rough endoplasmic reticulum","Station image reference (not displayed in student deck)","Label 69","Yes","No","","No"
"Station 21","70","Ex 5 - Recognize and describe the stages of mitosis.","Station-linked identification or function","Which mitotic phase at 70 shows chromosomes arriving at opposite poles?","anaphase","telophase","prophase","metaphase","B","telophase","Station image reference (not displayed in student deck)","Label 70","Yes","No","","No"
"Station 21","71","Ex 5 - Recognize and describe the stages of mitosis.","Station-linked identification or function","Which phase at 71 shows chromosome condensation?","prophase","metaphase","anaphase","telophase","A","prophase","Station image reference (not displayed in student deck)","Label 71","Yes","No","","No"
"Station 21","72","Ex 5 - Recognize and describe the stages of mitosis.","Station-linked identification or function","Which phase at 72 shows sister chromatids moving apart?","metaphase","anaphase","telophase","prophase","B","anaphase","Station image reference (not displayed in student deck)","Label 72","Yes","No","","No"
"Station 21","73","Ex 5 - Recognize and describe the stages of mitosis.","Station-linked identification or function","At which phase, shown by label 73, do chromosomes align at the equator?","metaphase","prophase","anaphase","telophase","A","metaphase","Station image reference (not displayed in student deck)","Label 73","Yes","No","","No"
"Station 22","74","Ex 5 - Distinguish among the different stages of the cell cycle.","Station-linked identification or function","What process at 74 separates the cytoplasm into two cells?","cytokinesis","Mitosis","Interphase","2 daughter cells","A","cytokinesis","Station image reference (not displayed in student deck)","Label 74","Yes","No","","No"
"Station 22","75","Ex 5 - Distinguish among the different stages of the cell cycle.","Station-linked identification or function","One half of the duplicated chromosome at 75 is a:","centromere","spindle apparatus","Mitosis","chromatid","D","chromatid","Station image reference (not displayed in student deck)","Label 75","Yes","No","","No"
"Station 22","76","Ex 5 - Distinguish among the different stages of the cell cycle.","Station-linked identification or function","Which preparation phase, labeled 76, includes DNA replication?","Mitosis","Interphase","Cytokinesis","1 parent cell","B","Interphase","Station image reference (not displayed in student deck)","Label 76","Yes","No","","No"
"Station 22","77","Ex 5 - Distinguish among the different stages of the cell cycle.","Station-linked identification or function","What structure at 77 holds sister chromatids together?","chromatid","1 parent cell","centromere","spindle apparatus","C","centromere","Station image reference (not displayed in student deck)","Label 77","Yes","No","","No"
"Station 23","78","Ex 5 - Distinguish among the different stages of the cell cycle.","Station-linked identification or function","Which apparatus at 78 moves chromosomes during division?","spindle apparatus","centromere","chromatid","Cytokinesis","A","spindle apparatus","Station image reference (not displayed in student deck)","Label 78","Yes","No","","No"
"Station 23","79","Ex 5 - Distinguish among the different stages of the cell cycle.","Station-linked identification or function","The outcome indicated by 79 is:","1 parent cell","Interphase","prophase","two daughter cells","D","two daughter cells","Station image reference (not displayed in student deck)","Label 79","Yes","No","","No"
"Station 23","80","Ex 5 - Distinguish among the different stages of the cell cycle.","Station-linked identification or function","Which process at 80 divides the nucleus?","Cytokinesis","Interphase","metaphase","Mitosis","D","Mitosis","Station image reference (not displayed in student deck)","Label 80","Yes","No","","No"
"Station 23","81","Ex 5 - Distinguish among the different stages of the cell cycle.","Station-linked identification or function","The original dividing cell at label 81 is the:","parent cell","Mitosis","Interphase","2 daughter cells","A","parent cell","Station image reference (not displayed in student deck)","Label 81","Yes","No","","No"
"Station 24","82","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Station-linked identification or function","Which movement through a membrane is illustrated at label 82?","diffusion","filtration","osmosis","hypotonic","B","filtration","Station image reference (not displayed in student deck)","Label 82","Yes","No","","No"
"Station 24","83","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Station-linked identification or function","Which solution condition at 83 leaves a red blood cell unchanged?","isotonic solution","hypertonic","lysis","hypotonic","A","isotonic solution","Station image reference (not displayed in student deck)","Label 83","Yes","No","","No"
"Station 24","84","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Station-linked identification or function","What process at 84 is the diffusion of water across a selective membrane?","osmosis","filtration","diffusion","hypertonic","A","osmosis","Station image reference (not displayed in student deck)","Label 84","Yes","No","","No"
"Station 24","85","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Station-linked identification or function","Which movement from high to low concentration is indicated at 85?","osmosis","isotonic","filtration","diffusion","D","diffusion","Station image reference (not displayed in student deck)","Label 85","Yes","No","","No"
"Station 25","86","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Station-linked identification or function","Which solution at 86 causes a red blood cell to swell?","crenation","isotonic","hypertonic","hypotonic solution","D","hypotonic solution","Station image reference (not displayed in student deck)","Label 86","Yes","No","","No"
"Station 25","87","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Station-linked identification or function","What is the shrinkage shown at label 87 called?","lysis","filtration","crenation","diffusion","C","crenation","Station image reference (not displayed in student deck)","Label 87","Yes","No","","No"
"Station 25","88","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Station-linked identification or function","Which solution condition at 88 causes the cell to lose water?","isotonic","hypotonic","lysis","hypertonic solution","D","hypertonic solution","Station image reference (not displayed in student deck)","Label 88","Yes","No","","No"
"Station 26","89","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Station-linked identification or function","Which epithelial tissue at 89 is a single layer of cube-shaped cells?","simple cuboidal epithelium","pseudostratified columnar","transitional","simple squamous","A","simple cuboidal epithelium","Station image reference (not displayed in student deck)","Label 89","Yes","No","","No"
"Station 26","90","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Station-linked identification or function","Which protective, multilayered epithelium is indicated by 90?","simple columnar","simple squamous","stratified squamous epithelium","transitional","C","stratified squamous epithelium","Station image reference (not displayed in student deck)","Label 90","Yes","No","","No"
"Station 26","91","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Station-linked identification or function","Which thin epithelium at 91 is specialized for diffusion?","simple squamous epithelium","simple columnar","stratified squamous","simple cuboidal","A","simple squamous epithelium","Station image reference (not displayed in student deck)","Label 91","Yes","No","","No"
"Station 27","92","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Station-linked identification or function","Which epithelium at 92 has a single layer of tall cells?","simple cuboidal","stratified squamous","pseudostratified columnar","simple columnar epithelium","D","simple columnar epithelium","Station image reference (not displayed in student deck)","Label 92","Yes","No","","No"
"Station 27","93","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Station-linked identification or function","Which stretchable epithelium is shown at label 93?","transitional epithelium","simple squamous","simple cuboidal","stratified squamous","A","transitional epithelium","Station image reference (not displayed in student deck)","Label 93","Yes","No","","No"
"Station 27","94","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Station-linked identification or function","Which tissue at 94 only appears to be layered?","simple columnar","transitional","simple squamous","pseudostratified columnar epithelium","D","pseudostratified columnar epithelium","Station image reference (not displayed in student deck)","Label 94","Yes","No","","No"
"Station 28","95","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Station-linked identification or function","Which rigid connective tissue is indicated by 95?","osseous tissue (bone)","Reticular","Hyaline cartilage","Blood (vascular)","A","osseous tissue (bone)","Station image reference (not displayed in student deck)","Label 95","Yes","No","","No"
"Station 28","96","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Station-linked identification or function","Which energy-storing connective tissue is marked 96?","Fibroblasts","osteocyte","adipose tissue","Collagen fibers","C","adipose tissue","Station image reference (not displayed in student deck)","Label 96","Yes","No","","No"
"Station 28","97","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Station-linked identification or function","Which tissue at 97 provides a smooth surface in joints?","Dense regular","Elastic fibers","hyaline cartilage","RBC","C","hyaline cartilage","Station image reference (not displayed in student deck)","Label 97","Yes","No","","No"
"Station 28","98","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Station-linked identification or function","Which connective tissue at 98 has a fluid matrix?","Loose (areolar)","Dense regular","blood (vascular tissue)","Adipose","C","blood (vascular tissue)","Station image reference (not displayed in student deck)","Label 98","Yes","No","","No"
"Station 29","99","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Station-linked identification or function","Which tendon-associated tissue is shown at 99?","Loose (areolar)","Reticular","dense regular connective tissue","Elastic fibers","C","dense regular connective tissue","Station image reference (not displayed in student deck)","Label 99","Yes","No","","No"
"Station 29","100","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Station-linked identification or function","Which mature cartilage cell is indicated by 100?","chondrocyte","osteocyte","platelets","Reticular fibers","A","chondrocyte","Station image reference (not displayed in student deck)","Label 100","Yes","No","","No"
"Station 29","101","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Station-linked identification or function","Which cell fragments at 101 are essential for clotting?","platelets","RBC","Collagen fibers","WBC","A","platelets","Station image reference (not displayed in student deck)","Label 101","Yes","No","","No"
"Station 29","102","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Station-linked identification or function","Which mature bone cell is located at 102?","WBC","osteocyte","Fibroblasts","chondrocyte","B","osteocyte","Station image reference (not displayed in student deck)","Label 102","Yes","No","","No"
"Station 30","103","Ex 9 - List describe and identify the different types of muscle tissue. Know their location and functions.","Station-linked identification or function","Which involuntary muscle tissue at 103 lines hollow organs?","skeletal","cardiac","smooth muscle tissue","stratified squamous","C","smooth muscle tissue","Station image reference (not displayed in student deck)","Label 103","Yes","No","","No"
"Station 30","104","Ex 9 - List describe and identify the different types of muscle tissue. Know their location and functions.","Station-linked identification or function","Which involuntary muscle tissue at 104 occurs only in the heart?","smooth","cardiac muscle tissue","skeletal","neuroglia","B","cardiac muscle tissue","Station image reference (not displayed in student deck)","Label 104","Yes","No","","No"
"Station 30","105","Ex 9 - List describe and identify the different types of muscle tissue. Know their location and functions.","Station-linked identification or function","Which voluntary, bone-attached muscle tissue is indicated by 105?","cardiac","smooth","skeletal muscle tissue","transitional","C","skeletal muscle tissue","Station image reference (not displayed in student deck)","Label 105","Yes","No","","No"
