Station,Question_Number,SLO,Question_Type,Stem,Option_A,Option_B,Option_C,Option_D,Correct_Letter,Correct_Answer,Reference_Type,Reference_Label,Image_Represents_Question,Image_Redesign_Needed,Redesign_Notes,No_Model_Needed
"Station 04","15","Ex 1 - Know the anatomical terminology used to describe parts of the body.","Direct identification","Using the Station 04 reference, identify the anatomical region indicated by label 15.","mental","oral","nasal","buccal","D","buccal","Labeled anatomical reference","Label 15","Yes","No","","No"
"Station 05","16","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Direct identification","Using the Station 05 reference, identify the body cavity indicated by label 16.","thoracic cavity","cranial cavity","nasal cavity","Oral cavity","B","cranial cavity","Labeled anatomical reference","Label 16","Yes","No","","No"
"Station 05","17","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Direct identification","Using the Station 05 reference, identify the body cavity indicated by label 17.","thoracic cavity","pericardial cavity","Dorsal cavity","Ventral cavity","B","pericardial cavity","Labeled anatomical reference","Label 17","Yes","No","","No"
"Station 05","18","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Direct identification","Using the Station 05 reference, identify the body cavity indicated by label 18.","pleural cavity","pericardial cavity","mediastinum","Orbital/optic cavity","A","pleural cavity","Labeled anatomical reference","Label 18","Yes","No","","No"
"Station 05","19","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Direct identification","Using the Station 05 reference, identify the body cavity indicated by label 19.","pericardial cavity","pleural cavity","vertebral cavity","abdominal cavity","C","vertebral cavity","Labeled anatomical reference","Label 19","Yes","No","","No"
"Station 06","20","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Direct identification","Using the Station 06 reference, identify the body cavity indicated by label 20.","thoracic cavity","pelvic cavity","mediastinum","abdominopelvic cavity","B","pelvic cavity","Labeled anatomical reference","Label 20","Yes","No","","No"
"Station 06","21","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Direct identification","Using the Station 06 reference, identify the body cavity indicated by label 21.","Ventral cavity","abdominal cavity","thoracic cavity","nasal cavity","D","nasal cavity","Labeled anatomical reference","Label 21","Yes","No","","No"
"Station 06","22","Ex 1 - Identify the cavities of the body and organs found in each cavity.","Direct identification","Using the Station 06 reference, identify the body cavity indicated by label 22.","cranial cavity","pelvic cavity","abdominal cavity","vertebral cavity","C","abdominal cavity","Labeled anatomical reference","Label 22","Yes","No","","No"
"Station 07","23","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 07 reference, identify the abdominopelvic quadrant indicated by label 23.","left upper","left lower","right upper","right lower","D","right lower","Labeled anatomical reference","Label 23","Yes","No","","No"
"Station 07","24","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 07 reference, identify the abdominopelvic quadrant indicated by label 24.","left lower","right upper","right lower","left upper","A","left lower","Labeled anatomical reference","Label 24","Yes","No","","No"
"Station 07","25","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 07 reference, identify the abdominopelvic quadrant indicated by label 25.","right upper","left upper","right lower","left lower","A","right upper","Labeled anatomical reference","Label 25","Yes","No","","No"
"Station 07","26","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 07 reference, identify the abdominopelvic quadrant indicated by label 26.","right upper","left upper","right lower","left lower","B","left upper","Labeled anatomical reference","Label 26","Yes","No","","No"
"Station 08","27","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 08 reference, identify the abdominopelvic region indicated by label 27.","right lumbar (lateral) region","right iliac (inguinal) region","left lumbar (lateral) region","left iliac (inguinal) region","B","right iliac (inguinal) region","Labeled anatomical reference","Label 27","Yes","No","","No"
"Station 08","28","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 08 reference, identify the abdominopelvic region indicated by label 28.","left hypochondriac","hypogastric/pubic","right hypochondriac","epigastric","D","epigastric","Labeled anatomical reference","Label 28","Yes","No","","No"
"Station 08","29","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 08 reference, identify the abdominopelvic region indicated by label 29.","hypogastric (pubic) region","epigastric region","umbilical region","right hypochondriac region","A","hypogastric (pubic) region","Labeled anatomical reference","Label 29","Yes","No","","No"
"Station 09","30","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 09 reference, identify the abdominopelvic region indicated by label 30.","umbilical region","hypogastric (pubic) region","epigastric region","right iliac (inguinal) region","A","umbilical region","Labeled anatomical reference","Label 30","Yes","No","","No"
"Station 09","31","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 09 reference, identify the abdominopelvic region indicated by label 31.","right hypochondriac region","left hypochondriac region","left lumbar (lateral) region","right lumbar (lateral) region","B","left hypochondriac region","Labeled anatomical reference","Label 31","Yes","No","","No"
"Station 09","32","Ex 1 - Identify abdominopelvic body regions and quadrants.","Direct identification","Using the Station 09 reference, identify the abdominopelvic region indicated by label 32.","right iliac (inguinal) region","right lumbar (lateral) region","left iliac (inguinal) region","left lumbar (lateral) region","B","right lumbar (lateral) region","Labeled anatomical reference","Label 32","Yes","No","","No"
"Station 10","33","Ex 1 - Be able to recognize body planes and sections.","Direct identification","Using the Station 10 reference, identify the body plane or section indicated by label 33.","divides the body in anterior and posterior","divides the body in superior and inferior","divides the body exactly into equal right and left halves","divides a cylindrical organ horizontally.","C","divides the body exactly into equal right and left halves","Labeled anatomical reference","Label 33","Yes","No","","No"
"Station 10","34","Ex 1 - Be able to recognize body planes and sections.","Direct identification","Using the Station 10 reference, identify the body plane or section indicated by label 34.","frontal (coronal) plane","midsagittal plane","parasagittal plane","oblique section","A","frontal (coronal) plane","Labeled anatomical reference","Label 34","Yes","No","","No"
"Station 10","35","Ex 1 - Be able to recognize body planes and sections.","Direct identification","Using the Station 10 reference, identify the body plane or section indicated by label 35.","transverse (horizontal)","frontal (coronal) plane","sagittal plane (right-left division)","cross section","C","sagittal plane (right-left division)","Labeled anatomical reference","Label 35","Yes","No","","No"
"Station 10","36","Ex 1 - Be able to recognize body planes and sections.","Direct identification","Using the Station 10 reference, identify the body plane or section indicated by label 36.","longitudinal section","cross section","transverse (horizontal)","frontal (coronal) plane","C","transverse (horizontal)","Labeled anatomical reference","Label 36","Yes","No","","No"
"Station 11","37","Ex 1 - Be able to recognize body planes and sections.","Direct identification","Using the Station 11 reference, identify the body plane or section indicated by label 37.","longitudinal section","frontal (coronal) plane","oblique section","cross section","D","cross section","Labeled anatomical reference","Label 37","Yes","No","","No"
"Station 11","38","Ex 1 - Be able to recognize body planes and sections.","Direct identification","Using the Station 11 reference, identify the body plane or section indicated by label 38.","cross section","transverse (horizontal)","sagittal (median) plane","longitudinal section","D","longitudinal section","Labeled anatomical reference","Label 38","Yes","No","","No"
"Station 11","39","Ex 1 - Be able to recognize body planes and sections.","Direct identification","Using the Station 11 reference, identify the body plane or section indicated by label 39.","parasagittal plane","midsagittal plane","sagittal (median) plane","transverse (horizontal)","A","parasagittal plane","Labeled anatomical reference","Label 39","Yes","No","","No"
"Station 12","40","Ex 2 - Define pH.","Direct identification","Using the Station 12 reference, identify the acid-base concept indicated by label 40.","pH","Acid","Base","Electrolytes","A","pH","Labeled anatomical reference","Label 40","Yes","No","","No"
"Station 12","41","Ex 2 - Define and give examples of common acids and bases in our body.","Direct identification","Using the Station 12 reference, identify the acid-base concept indicated by label 41.","Base","Buffer","acid","Ions","C","acid","Labeled anatomical reference","Label 41","Yes","No","","No"
"Station 12","42","Ex 2 - Define and give examples of common acids and bases in our body.","Direct identification","Using the Station 12 reference, identify the acid-base concept indicated by label 42.","Acid","pH","chemical base (proton acceptor)","Ions","C","chemical base (proton acceptor)","Labeled anatomical reference","Label 42","Yes","No","","No"
"Station 13","43","Ex 2 - Know the definition of electrolytes.","Direct identification","Using the Station 13 reference, identify the electrolyte-related concept indicated by label 43.","ions","pH","Acid","Buffer","A","ions","Labeled anatomical reference","Label 43","Yes","No","","No"
"Station 13","44","Ex 2 - Know the definition of electrolytes.","Direct identification","Using the Station 13 reference, identify the electrolyte-related concept indicated by label 44.","electrolytes","Base","pH","Buffer","A","electrolytes","Labeled anatomical reference","Label 44","Yes","No","","No"
"Station 13","45","Ex 2 - Define buffers.","Direct identification","Using the Station 13 reference, identify the electrolyte-related concept indicated by label 45.","Acid","Ions","Electrolytes","buffer","D","buffer","Labeled anatomical reference","Label 45","Yes","No","","No"
"Station 14","46","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Direct identification","Using the Station 14 reference, identify the microscope component or concept indicated by label 46.","eyepiece (ocular lens)","objective lenses (scan, low, high)","cover slip","mechanical stage","B","objective lenses (scan, low, high)","Compound microscope reference","Label 46","Yes","No","","No"
"Station 14","47","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Direct identification","Using the Station 14 reference, identify the microscope component or concept indicated by label 47.","coarse adjustment knob","substage disc","fine adjustment knob","base","C","fine adjustment knob","Compound microscope reference","Label 47","Yes","No","","No"
"Station 14","48","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Direct identification","Using the Station 14 reference, identify the microscope component or concept indicated by label 48.","stage","body","arm","mechanical stage","D","mechanical stage","Compound microscope reference","Label 48","Yes","No","","No"
"Station 14","49","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Direct identification","Using the Station 14 reference, identify the microscope component or concept indicated by label 49.","stage","objective lenses (scan, low, high)","eyepiece (ocular lens)","substage lamp","C","eyepiece (ocular lens)","Compound microscope reference","Label 49","Yes","No","","No"
"Station 15","50","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Direct identification","Using the Station 15 reference, identify the microscope component or concept indicated by label 50.","eyepiece (ocular lens)","objective lenses (scan, low, high)","cover slip","substage lamp","D","substage lamp","Compound microscope reference","Label 50","Yes","No","","No"
"Station 15","51","Ex 3 - Learn the proper care and use of the microscope.","Direct identification","Using the Station 15 reference, identify the microscope component or concept indicated by label 51.","arm","microscope base (support)","body","stage","B","microscope base (support)","Compound microscope reference","Label 51","Yes","No","","No"
"Station 15","52","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Direct identification","Using the Station 15 reference, identify the microscope component or concept indicated by label 52.","mechanical stage","substage disc","nosepiece","fine adjustment knob","C","nosepiece","Compound microscope reference","Label 52","Yes","No","","No"
"Station 16","53","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Direct identification","Using the Station 16 reference, identify the optical property illustrated by label 53.","total magnification","base","resolution","coarse adjustment knob","C","resolution","Compound microscope reference","Label 53","Yes","No","","No"
"Station 16","54","Ex 3 - Calculate total magnification while using various combinations of the objectives with the eyepiece.","Direct identification","Using the Station 16 reference, identify the microscope component or concept indicated by label 54.","total magnification","resolution","stage","nosepiece","A","total magnification","Compound microscope reference","Label 54","Yes","No","","No"
"Station 16","55","Ex 3 - Identify major parts of the compound microscope and know the functions of these parts.","Direct identification","Using the Station 16 reference, identify the microscope component or concept indicated by label 55.","cover slip","stage","body","microscopic slide","D","microscopic slide","Compound microscope reference","Label 55","Yes","No","","No"
"Station 17","56","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 17 reference, identify the cell structure indicated by label 56.","endoplasmic reticulum","mitochondrion","ribosome","peroxisome","B","mitochondrion","Labeled cell or process illustration","Label 56","Yes","No","","No"
"Station 17","57","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 17 reference, identify the cell structure indicated by label 57.","lysosome","nucleus","cytoplasm","cell membrane","D","cell membrane","Labeled cell or process illustration","Label 57","Yes","No","","No"
"Station 17","58","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 17 reference, identify the cell structure indicated by label 58.","nucleus","nucleolus","mitochondria","Golgi apparatus","A","nucleus","Labeled cell or process illustration","Label 58","Yes","No","","No"
"Station 17","59","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 17 reference, identify the cell structure indicated by label 59.","Golgi apparatus","centrosome / centriole","cell membrane","lysosome","A","Golgi apparatus","Labeled cell or process illustration","Label 59","Yes","No","","No"
"Station 18","60","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 18 reference, identify the cell structure indicated by label 60.","smooth","rough","ribosome","DNA","C","ribosome","Labeled cell or process illustration","Label 60","Yes","No","","No"
"Station 18","61","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 18 reference, identify the cell structure indicated by label 61.","centrosome","cytoplasm","cilia","flagella","A","centrosome","Labeled cell or process illustration","Label 61","Yes","No","","No"
"Station 18","62","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 18 reference, identify the cell structure indicated by label 62.","chromatin / chromosome","nuclear envelope","endoplasmic reticulum","cilia","C","endoplasmic reticulum","Labeled cell or process illustration","Label 62","Yes","No","","No"
"Station 18","63","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 18 reference, identify the cell structure indicated by label 63.","peroxisome","lysosome","mitochondria","nucleolus","B","lysosome","Labeled cell or process illustration","Label 63","Yes","No","","No"
"Station 19","64","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 19 reference, identify the cell structure indicated by label 64.","cell membrane","cytoplasm","nucleus","lysosome","B","cytoplasm","Labeled cell or process illustration","Label 64","Yes","No","","No"
"Station 19","65","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 19 reference, identify the cell structure indicated by label 65.","chromatin / chromosome","nucleolus","DNA","cytoplasm","C","DNA","Labeled cell or process illustration","Label 65","Yes","No","","No"
"Station 19","66","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 19 reference, identify the cell structure indicated by label 66.","nuclear envelope","cell membrane","endoplasmic reticulum","Golgi apparatus","A","nuclear envelope","Labeled cell or process illustration","Label 66","Yes","No","","No"
"Station 20","67","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 20 reference, identify the cell structure indicated by label 67.","chromatin / chromosome","nucleolus","centrosome / centriole","DNA","B","nucleolus","Labeled cell or process illustration","Label 67","Yes","No","","No"
"Station 20","68","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 20 reference, identify the cell structure indicated by label 68.","smooth endoplasmic reticulum","rough","nuclear envelope","cell membrane","A","smooth endoplasmic reticulum","Labeled cell or process illustration","Label 68","Yes","No","","No"
"Station 20","69","Ex 4 - Recognize the shapes and characteristics of the various organelles and learn their functions.","Direct identification","Using the Station 20 reference, identify the cell structure indicated by label 69.","Golgi apparatus","smooth","endoplasmic reticulum","rough endoplasmic reticulum","D","rough endoplasmic reticulum","Labeled cell or process illustration","Label 69","Yes","No","","No"
"Station 21","70","Ex 5 - Recognize and describe the stages of mitosis.","Direct identification","Using the Station 21 reference, identify the cell-cycle structure or stage indicated by label 70.","anaphase","metaphase","prophase","telophase","D","telophase","Labeled cell or process illustration","Label 70","Yes","No","","No"
"Station 21","71","Ex 5 - Recognize and describe the stages of mitosis.","Direct identification","Using the Station 21 reference, identify the cell-cycle structure or stage indicated by label 71.","prophase","metaphase","anaphase","telophase","A","prophase","Labeled cell or process illustration","Label 71","Yes","No","","No"
"Station 21","72","Ex 5 - Recognize and describe the stages of mitosis.","Direct identification","Using the Station 21 reference, identify the cell-cycle structure or stage indicated by label 72.","metaphase","prophase","telophase","anaphase","D","anaphase","Labeled cell or process illustration","Label 72","Yes","No","","No"
"Station 21","73","Ex 5 - Recognize and describe the stages of mitosis.","Direct identification","Using the Station 21 reference, identify the cell-cycle structure or stage indicated by label 73.","prophase","metaphase","anaphase","telophase","B","metaphase","Labeled cell or process illustration","Label 73","Yes","No","","No"
"Station 22","74","Ex 5 - Distinguish among the different stages of the cell cycle.","Direct identification","Using the Station 22 reference, identify the cell-cycle structure or stage indicated by label 74.","Interphase","Mitosis","cytokinesis","2 daughter cells","C","cytokinesis","Labeled cell or process illustration","Label 74","Yes","No","","No"
"Station 22","75","Ex 5 - Distinguish among the different stages of the cell cycle.","Direct identification","Using the Station 22 reference, identify the cell-cycle structure or stage indicated by label 75.","centromere","spindle apparatus","Mitosis","chromatid","D","chromatid","Labeled cell or process illustration","Label 75","Yes","No","","No"
"Station 22","76","Ex 5 - Distinguish among the different stages of the cell cycle.","Direct identification","Using the Station 22 reference, identify the cell-cycle structure or stage indicated by label 76.","Mitosis","Interphase","Cytokinesis","1 parent cell","B","Interphase","Labeled cell or process illustration","Label 76","Yes","No","","No"
"Station 22","77","Ex 5 - Distinguish among the different stages of the cell cycle.","Direct identification","Using the Station 22 reference, identify the cell-cycle structure or stage indicated by label 77.","chromatid","centromere","1 parent cell","spindle apparatus","B","centromere","Labeled cell or process illustration","Label 77","Yes","No","","No"
"Station 23","78","Ex 5 - Distinguish among the different stages of the cell cycle.","Direct identification","Using the Station 23 reference, identify the cell-cycle structure or stage indicated by label 78.","chromatid","centromere","spindle apparatus","Cytokinesis","C","spindle apparatus","Labeled cell or process illustration","Label 78","Yes","No","","No"
"Station 23","79","Ex 5 - Distinguish among the different stages of the cell cycle.","Direct identification","Using the Station 23 reference, identify the cell-cycle structure or stage indicated by label 79.","1 parent cell","Interphase","prophase","two daughter cells","D","two daughter cells","Labeled cell or process illustration","Label 79","Yes","No","","No"
"Station 23","80","Ex 5 - Distinguish among the different stages of the cell cycle.","Direct identification","Using the Station 23 reference, identify the cell-cycle structure or stage indicated by label 80.","Cytokinesis","Interphase","Mitosis","metaphase","C","Mitosis","Labeled cell or process illustration","Label 80","Yes","No","","No"
"Station 23","81","Ex 5 - Distinguish among the different stages of the cell cycle.","Direct identification","Using the Station 23 reference, identify the cell-cycle structure or stage indicated by label 81.","2 daughter cells","Mitosis","Interphase","parent cell","D","parent cell","Labeled cell or process illustration","Label 81","Yes","No","","No"
"Station 24","82","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Direct identification","Using the Station 24 reference, identify the membrane-transport concept or condition indicated by label 82.","diffusion","filtration","osmosis","hypotonic","B","filtration","Labeled cell or process illustration","Label 82","Yes","No","","No"
"Station 24","83","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Direct identification","Using the Station 24 reference, identify the membrane-transport concept or condition indicated by label 83.","hypertonic","isotonic solution","lysis","hypotonic","B","isotonic solution","Labeled cell or process illustration","Label 83","Yes","No","","No"
"Station 24","84","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Direct identification","Using the Station 24 reference, identify the membrane-transport concept or condition indicated by label 84.","diffusion","filtration","osmosis","hypertonic","C","osmosis","Labeled cell or process illustration","Label 84","Yes","No","","No"
"Station 24","85","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Direct identification","Using the Station 24 reference, identify the membrane-transport concept or condition indicated by label 85.","osmosis","diffusion","filtration","isotonic","B","diffusion","Labeled cell or process illustration","Label 85","Yes","No","","No"
"Station 25","86","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Direct identification","Using the Station 25 reference, identify the membrane-transport concept or condition indicated by label 86.","crenation","isotonic","hypertonic","hypotonic solution","D","hypotonic solution","Labeled cell or process illustration","Label 86","Yes","No","","No"
"Station 25","87","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Direct identification","Using the Station 25 reference, identify the membrane-transport concept or condition indicated by label 87.","crenation","filtration","lysis","diffusion","A","crenation","Labeled cell or process illustration","Label 87","Yes","No","","No"
"Station 25","88","Ex 6 - Know the concepts of Diffusion Filtration and Osmosis.","Direct identification","Using the Station 25 reference, identify the membrane-transport concept or condition indicated by label 88.","isotonic","hypotonic","lysis","hypertonic solution","D","hypertonic solution","Labeled cell or process illustration","Label 88","Yes","No","","No"
"Station 26","89","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Direct identification","Using the Station 26 reference, identify the epithelial tissue indicated by label 89.","simple cuboidal epithelium","pseudostratified columnar","transitional","simple squamous","A","simple cuboidal epithelium","Microscope slide image","Label 89","Yes","No","","No"
"Station 26","90","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Direct identification","Using the Station 26 reference, identify the epithelial tissue indicated by label 90.","simple columnar","simple squamous","transitional","stratified squamous epithelium","D","stratified squamous epithelium","Microscope slide image","Label 90","Yes","No","","No"
"Station 26","91","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Direct identification","Using the Station 26 reference, identify the epithelial tissue indicated by label 91.","stratified squamous","simple columnar","simple squamous epithelium","simple cuboidal","C","simple squamous epithelium","Microscope slide image","Label 91","Yes","No","","No"
"Station 27","92","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Direct identification","Using the Station 27 reference, identify the epithelial tissue indicated by label 92.","simple columnar epithelium","stratified squamous","pseudostratified columnar","simple cuboidal","A","simple columnar epithelium","Microscope slide image","Label 92","Yes","No","","No"
"Station 27","93","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Direct identification","Using the Station 27 reference, identify the epithelial tissue indicated by label 93.","simple squamous","transitional epithelium","simple cuboidal","stratified squamous","B","transitional epithelium","Microscope slide image","Label 93","Yes","No","","No"
"Station 27","94","Ex 7 - List describe and identify the different types of epithelial tissue. Know their locations and functions.","Direct identification","Using the Station 27 reference, identify the epithelial tissue indicated by label 94.","pseudostratified columnar epithelium","transitional","simple squamous","simple columnar","A","pseudostratified columnar epithelium","Microscope slide image","Label 94","Yes","No","","No"
"Station 28","95","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Direct identification","Using the Station 28 reference, identify the connective tissue or cell indicated by label 95.","Hyaline cartilage","Reticular","osseous tissue (bone)","Blood (vascular)","C","osseous tissue (bone)","Microscope slide image","Label 95","Yes","No","","No"
"Station 28","96","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Direct identification","Using the Station 28 reference, identify the connective tissue or cell indicated by label 96.","Fibroblasts","osteocyte","Collagen fibers","adipose tissue","D","adipose tissue","Microscope slide image","Label 96","Yes","No","","No"
"Station 28","97","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Direct identification","Using the Station 28 reference, identify the connective tissue or cell indicated by label 97.","Dense regular","Elastic fibers","hyaline cartilage","RBC","C","hyaline cartilage","Microscope slide image","Label 97","Yes","No","","No"
"Station 28","98","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Direct identification","Using the Station 28 reference, identify the connective tissue or cell indicated by label 98.","Loose (areolar)","blood (vascular tissue)","Dense regular","Adipose","B","blood (vascular tissue)","Microscope slide image","Label 98","Yes","No","","No"
"Station 29","99","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Direct identification","Using the Station 29 reference, identify the connective tissue or cell indicated by label 99.","Loose (areolar)","dense regular connective tissue","Reticular","Elastic fibers","B","dense regular connective tissue","Microscope slide image","Label 99","Yes","No","","No"
"Station 29","100","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Direct identification","Using the Station 29 reference, identify the connective tissue or cell indicated by label 100.","chondrocyte","osteocyte","platelets","Reticular fibers","A","chondrocyte","Microscope slide image","Label 100","Yes","No","","No"
"Station 29","101","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Direct identification","Using the Station 29 reference, identify the connective tissue or cell indicated by label 101.","RBC","platelets","Collagen fibers","WBC","B","platelets","Microscope slide image","Label 101","Yes","No","","No"
"Station 29","102","Ex 8 - List describe and identify the different types of connective tissues and cell types.","Direct identification","Using the Station 29 reference, identify the connective tissue or cell indicated by label 102.","WBC","chondrocyte","Fibroblasts","osteocyte","D","osteocyte","Microscope slide image","Label 102","Yes","No","","No"
"Station 30","103","Ex 9 - List describe and identify the different types of muscle tissue. Know their location and functions.","Direct identification","Using the Station 30 reference, identify the muscle tissue indicated by label 103.","skeletal","cardiac","smooth muscle tissue","stratified squamous","C","smooth muscle tissue","Microscope slide image","Label 103","Yes","No","","No"
